                               No. of Molecules =     5400
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         63.4818
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       232         -6914.50501        1083.99754       -5830.50747
       233         -6914.05978        1083.70114       -5830.35864
       234         -6913.62847        1083.41242       -5830.21604
       235         -6913.21228        1083.13126       -5830.08102
       236         -6912.83466        1082.85752       -5829.97715
       237         -6912.49539        1082.59109       -5829.90430
       238         -6912.14087        1082.33184       -5829.80903
       239         -6911.81971        1082.07963       -5829.74008
       240         -6911.46500        1081.83435       -5829.63065
       241         -6911.13429        1081.59587       -5829.53842
       242         -6910.84213        1081.36407       -5829.47806
       243         -6910.53194        1081.13880       -5829.39314
       244         -6910.23311        1080.91994       -5829.31317
       245         -6909.95574        1080.70736       -5829.24838
       246         -6909.70254        1080.50094       -5829.20160
       247         -6909.47475        1080.30054       -5829.17420
       248         -6909.22471        1080.10607       -5829.11863
       249         -6908.97883        1079.91738       -5829.06145
       250         -6908.77240        1079.73432       -5829.03808
       251         -6908.55628        1079.55682       -5828.99946
       252         -6908.37174        1079.38471       -5828.98703
       253         -6908.20218        1079.21787       -5828.98431
       254         -6908.06515        1079.05617       -5829.00898
       255         -6907.88775        1078.89948       -5828.98828
       256         -6907.74085        1078.74766       -5828.99319
       257         -6907.59012        1078.60060       -5828.98952
       258         -6907.45012        1078.45817       -5828.99195
       259         -6907.31914        1078.32023       -5828.99890
       260         -6907.21469        1078.18669       -5829.02800
       261         -6907.09062        1078.05741       -5829.03320
       262         -6907.00296        1077.93226       -5829.07070
       263         -6906.93664        1077.81113       -5829.12551
       264         -6906.86332        1077.69390       -5829.16943
       265         -6906.80197        1077.58043       -5829.22155
       266         -6906.73904        1077.47062       -5829.26841
       267         -6906.66392        1077.36436       -5829.29956
       268         -6906.59559        1077.26149       -5829.33410
       269         -6906.55309        1077.16193       -5829.39117
       270         -6906.52139        1077.06552       -5829.45586
       271         -6906.50762        1076.97218       -5829.53545
       272         -6906.48788        1076.88179       -5829.60610
       273         -6906.48418        1076.79423       -5829.68995
       274         -6906.48885        1076.70939       -5829.77946
       275         -6906.47949        1076.62716       -5829.85232
       276         -6906.48397        1076.54743       -5829.93653
       277         -6906.51099        1076.47008       -5830.04091
       278         -6906.54992        1076.39499       -5830.15493
       279         -6906.59312        1076.32204       -5830.27108
       280         -6906.59297        1076.25113       -5830.34184
       281         -6906.61891        1076.18217       -5830.43674
       282         -6906.63217        1076.11502       -5830.51715
       283         -6906.66809        1076.04957       -5830.61852
       284         -6906.69678        1075.98570       -5830.71108
       285         -6906.74322        1075.92331       -5830.81990
       286         -6906.80128        1075.86230       -5830.93898
       287         -6906.86482        1075.80257       -5831.06226
       288         -6906.92179        1075.74399       -5831.17780
       289         -6906.94823        1075.68645       -5831.26178
       290         -6906.97947        1075.62985       -5831.34962
       291         -6907.03901        1075.57407       -5831.46495
       292         -6907.06443        1075.51902       -5831.54540
       293         -6907.09548        1075.46458       -5831.63090
       294         -6907.15417        1075.41064       -5831.74354
       295         -6907.18547        1075.35707       -5831.82841
       296         -6907.22620        1075.30379       -5831.92242
       297         -6907.27762        1075.25068       -5832.02694
       298         -6907.34693        1075.19763       -5832.14931
       299         -6907.39390        1075.14453       -5832.24937
       300         -6907.43463        1075.09129       -5832.34333
       301         -6907.49554        1075.03777       -5832.45776
       302         -6907.52900        1074.98389       -5832.54511
       303         -6907.54816        1074.92952       -5832.61864
       304         -6907.57796        1074.87455       -5832.70341
       305         -6907.60335        1074.81887       -5832.78448
       306         -6907.63599        1074.76238       -5832.87360
       307         -6907.68901        1074.70499       -5832.98402
       308         -6907.70885        1074.64657       -5833.06228
       309         -6907.72193        1074.58699       -5833.13494
       310         -6907.74582        1074.52615       -5833.21967
       311         -6907.81587        1074.46396       -5833.35190
       312         -6907.84895        1074.40035       -5833.44860
       313         -6907.86853        1074.33517       -5833.53336
       314         -6907.87739        1074.26836       -5833.60904
       315         -6907.88719        1074.19979       -5833.68740
       316         -6907.91256        1074.12939       -5833.78317
       317         -6907.92068        1074.05704       -5833.86364
       318         -6907.92913        1073.98264       -5833.94649
       319         -6907.93183        1073.90611       -5834.02572
       320         -6907.92857        1073.82736       -5834.10121
       321         -6907.91919        1073.74629       -5834.17290
       322         -6907.92721        1073.66281       -5834.26439
       323         -6907.89612        1073.57683       -5834.31929
       324         -6907.85840        1073.48829       -5834.37012
       325         -6907.83020        1073.39712       -5834.43309
       326         -6907.78026        1073.30322       -5834.47705
       327         -6907.73063        1073.20652       -5834.52411
       328         -6907.68563        1073.10696       -5834.57867
       329         -6907.65849        1073.00449       -5834.65400
       330         -6907.60611        1072.89904       -5834.70707
       331         -6907.54469        1072.79056       -5834.75413
       332         -6907.47265        1072.67901       -5834.79364
       333         -6907.37507        1072.56432       -5834.81075
       334         -6907.30076        1072.44646       -5834.85430
       335         -6907.22150        1072.32540       -5834.89610
       336         -6907.13724        1072.20110       -5834.93614
       337         -6907.02570        1072.07355       -5834.95215
       338         -6906.92684        1071.94272       -5834.98412
       339         -6906.81394        1071.80857       -5835.00537
       340         -6906.69291        1071.67112       -5835.02179
       341         -6906.58151        1071.53033       -5835.05117
       342         -6906.46639        1071.38623       -5835.08016
       343         -6906.30910        1071.23883       -5835.07027
       344         -6906.18521        1071.08815       -5835.09706
       345         -6906.02511        1070.93419       -5835.09092
       346         -6905.87328        1070.77696       -5835.09632
       347         -6905.69273        1070.61651       -5835.07622
       348         -6905.52060        1070.45287       -5835.06773
       349         -6905.33031        1070.28609       -5835.04422
       350         -6905.12487        1070.11619       -5835.00869
       351         -6904.92660        1069.94321       -5834.98339
       352         -6904.72820        1069.76723       -5834.96097
       353         -6904.50612        1069.58831       -5834.91781
       354         -6904.27975        1069.40652       -5834.87323
       355         -6904.04773        1069.22191       -5834.82582
       356         -6903.81167        1069.03455       -5834.77711
       357         -6903.59695        1068.84456       -5834.75239
       358         -6903.38745        1068.65199       -5834.73546
       359         -6903.15073        1068.45694       -5834.69379
       360         -6902.93292        1068.25951       -5834.67341
       361         -6902.67348        1068.05981       -5834.61367
       362         -6902.41118        1067.85795       -5834.55323
       363         -6902.15954        1067.65401       -5834.50552
       364         -6901.91435        1067.44815       -5834.46620
       365         -6901.63882        1067.24046       -5834.39836
       366         -6901.38947        1067.03106       -5834.35842
       367         -6901.12507        1066.82007       -5834.30500
       368         -6900.83991        1066.60761       -5834.23231
       369         -6900.55057        1066.39380       -5834.15677
       370         -6900.27064        1066.17880       -5834.09184
       371         -6900.00337        1065.96273       -5834.04064
       372         -6899.71938        1065.74572       -5833.97366
       373         -6899.43380        1065.52794       -5833.90585
       374         -6899.15876        1065.30951       -5833.84925
       375         -6898.89007        1065.09058       -5833.79949
       376         -6898.59249        1064.87128       -5833.72121
       377         -6898.30186        1064.65176       -5833.65010
       378         -6898.01401        1064.43218       -5833.58183
       379         -6897.70555        1064.21267       -5833.49288
       380         -6897.39458        1063.99341       -5833.40116
       381         -6897.10362        1063.77455       -5833.32907
       382         -6896.81076        1063.55622       -5833.25454
       383         -6896.52515        1063.33855       -5833.18660
       384         -6896.23076        1063.12171       -5833.10905
       385         -6895.95016        1062.90586       -5833.04431
       386         -6895.67328        1062.69112       -5832.98216
       387         -6895.41073        1062.47764       -5832.93310
       388         -6895.13912        1062.26556       -5832.87356
       389         -6894.87500        1062.05502       -5832.81998
       390         -6894.59647        1061.84620       -5832.75028
       391         -6894.35419        1061.63919       -5832.71500
       392         -6894.09504        1061.43414       -5832.66090
       393         -6893.83564        1061.23120       -5832.60444
       394         -6893.58215        1061.03048       -5832.55166
       395         -6893.34964        1060.83214       -5832.51751
       396         -6893.09691        1060.63627       -5832.46064
       397         -6892.85825        1060.44300       -5832.41525
       398         -6892.62946        1060.25247       -5832.37699
       399         -6892.40040        1060.06476       -5832.33563
       400         -6892.18757        1059.88001       -5832.30756
       401         -6891.97638        1059.69830       -5832.27808
       402         -6891.81295        1059.51973       -5832.29322
       403         -6891.61005        1059.34441       -5832.26564
       404         -6891.41972        1059.17242       -5832.24731
       405         -6891.22585        1059.00385       -5832.22200
       406         -6891.04340        1058.83877       -5832.20463
       407         -6890.86514        1058.67728       -5832.18785
       408         -6890.69564        1058.51944       -5832.17620
       409         -6890.53652        1058.36532       -5832.17120
       410         -6890.37457        1058.21498       -5832.15959
       411         -6890.24992        1058.06846       -5832.18146
       412         -6890.14930        1057.92582       -5832.22348
       413         -6890.04764        1057.78711       -5832.26053
       414         -6889.92278        1057.65238       -5832.27040
       415         -6889.82077        1057.52167       -5832.29910
       416         -6889.70609        1057.39499       -5832.31109
       417         -6889.61436        1057.27239       -5832.34198
       418         -6889.53374        1057.15387       -5832.37986
       419         -6889.43466        1057.03946       -5832.39520
       420         -6889.36897        1056.92914       -5832.43984
       421         -6889.31447        1056.82296       -5832.49152
       422         -6889.25340        1056.72088       -5832.53252
       423         -6889.20203        1056.62293       -5832.57910
       424         -6889.19593        1056.52911       -5832.66682
       425         -6889.17283        1056.43937       -5832.73346
       426         -6889.12972        1056.35370       -5832.77601
       427         -6889.10951        1056.27209       -5832.83742
       428         -6889.08402        1056.19450       -5832.88951
       429         -6889.09319        1056.12092       -5832.97227
       430         -6889.12217        1056.05131       -5833.07086
       431         -6889.14267        1055.98562       -5833.15706
       432         -6889.16799        1055.92381       -5833.24418
       433         -6889.20987        1055.86585       -5833.34401
       434         -6889.24009        1055.81170       -5833.42839
       435         -6889.30300        1055.76130       -5833.54170
       436         -6889.37777        1055.71461       -5833.66316
       437         -6889.43908        1055.67157       -5833.76751
       438         -6889.51792        1055.63211       -5833.88581
       439         -6889.58899        1055.59616       -5833.99283
       440         -6889.67140        1055.56367       -5834.10773
       441         -6889.77692        1055.53459       -5834.24232
       442         -6889.84761        1055.50884       -5834.33877
       443         -6889.95151        1055.48638       -5834.46513
       444         -6890.07665        1055.46714       -5834.60951
       445         -6890.20363        1055.45103       -5834.75259
       446         -6890.34563        1055.43799       -5834.90764
       447         -6890.48469        1055.42792       -5835.05676
       448         -6890.61920        1055.42078       -5835.19842
       449         -6890.77864        1055.41647       -5835.36217
       450         -6890.91694        1055.41493       -5835.50200
       451         -6891.05466        1055.41607       -5835.63859
       452         -6891.24056        1055.41983       -5835.82073
       453         -6891.40930        1055.42612       -5835.98318
       454         -6891.57402        1055.43484       -5836.13919
       455         -6891.75977        1055.44593       -5836.31384
       456         -6891.93230        1055.45931       -5836.47300
       457         -6892.07664        1055.47490       -5836.60174
       458         -6892.25040        1055.49259       -5836.75780
       459         -6892.44153        1055.51232       -5836.92920
       460         -6892.63951        1055.53400       -5837.10551
       461         -6892.83532        1055.55759       -5837.27773
       462         -6893.05993        1055.58296       -5837.47697
       463         -6893.29094        1055.61007       -5837.68087
       464         -6893.51039        1055.63880       -5837.87160
       465         -6893.73443        1055.66908       -5838.06535
       466         -6893.92138        1055.70085       -5838.22054
       467         -6894.15408        1055.73399       -5838.42009
       468         -6894.41456        1055.76845       -5838.64611
       469         -6894.64785        1055.80413       -5838.84372
       470         -6894.88048        1055.84096       -5839.03952
       471         -6895.09596        1055.87885       -5839.21711
       472         -6895.34595        1055.91769       -5839.42826
       473         -6895.55770        1055.95743       -5839.60027
       474         -6895.80667        1055.99801       -5839.80866
       475         -6896.04232        1056.03935       -5840.00297
       476         -6896.29119        1056.08137       -5840.20982
       477         -6896.53234        1056.12398       -5840.40836
       478         -6896.80270        1056.16714       -5840.63556
       479         -6897.03252        1056.21078       -5840.82174
       480         -6897.28389        1056.25482       -5841.02907
       481         -6897.49587        1056.29918       -5841.19669
       482         -6897.74834        1056.34378       -5841.40456
       483         -6897.98488        1056.38857       -5841.59631
       484         -6898.22905        1056.43347       -5841.79558
       485         -6898.46886        1056.47842       -5841.99043
       486         -6898.69233        1056.52337       -5842.16896
       487         -6898.94824        1056.56823       -5842.38001
       488         -6899.14459        1056.61296       -5842.53163
       489         -6899.37906        1056.65749       -5842.72157
       490         -6899.62194        1056.70179       -5842.92015
       491         -6899.84642        1056.74580       -5843.10062
       492         -6900.07469        1056.78946       -5843.28522
       493         -6900.29769        1056.83273       -5843.46496
       494         -6900.53164        1056.87555       -5843.65608
       495         -6900.77501        1056.91792       -5843.85709
       496         -6901.02325        1056.95975       -5844.06350
       497         -6901.27775        1057.00102       -5844.27673
       498         -6901.50883        1057.04170       -5844.46713
       499         -6901.72083        1057.08175       -5844.63909
       500         -6901.95227        1057.12113       -5844.83113
       501         -6902.20007        1057.15983       -5845.04024
       502         -6902.43163        1057.19782       -5845.23381
       503         -6902.66614        1057.23508       -5845.43106
       504         -6902.91098        1057.27157       -5845.63941
       505         -6903.14089        1057.30728       -5845.83362
       506         -6903.37811        1057.34221       -5846.03591
       507         -6903.59595        1057.37635       -5846.21960
       508         -6903.82401        1057.40968       -5846.41433
       509         -6904.05488        1057.44221       -5846.61267
       510         -6904.25299        1057.47394       -5846.77906
       511         -6904.46130        1057.50483       -5846.95647
       512         -6904.66795        1057.53492       -5847.13303
       513         -6904.88188        1057.56420       -5847.31768
       514         -6905.07044        1057.59267       -5847.47777
       515         -6905.28555        1057.62035       -5847.66519
       516         -6905.49314        1057.64725       -5847.84589
       517         -6905.71248        1057.67334       -5848.03913
       518         -6905.93765        1057.69868       -5848.23897
       519         -6906.15980        1057.72325       -5848.43656
       520         -6906.36563        1057.74708       -5848.61855
       521         -6906.58185        1057.77019       -5848.81166
       522         -6906.75810        1057.79259       -5848.96551
       523         -6906.98188        1057.81432       -5849.16756
       524         -6907.22802        1057.83539       -5849.39263
       525         -6907.41213        1057.85583       -5849.55629
       526         -6907.58460        1057.87565       -5849.70895
       527         -6907.77366        1057.89489       -5849.87877
       528         -6907.93487        1057.91354       -5850.02133
       529         -6908.12457        1057.93163       -5850.19294
       530         -6908.33987        1057.94921       -5850.39066
       531         -6908.51858        1057.96627       -5850.55230
       532         -6908.70373        1057.98288       -5850.72084
       533         -6908.89092        1057.99904       -5850.89189
       534         -6909.08317        1058.01477       -5851.06841
       535         -6909.25831        1058.03011       -5851.22819
       536         -6909.42233        1058.04509       -5851.37723
       537         -6909.63302        1058.05971       -5851.57331
       538         -6909.82820        1058.07399       -5851.75421
       539         -6910.00642        1058.08796       -5851.91846
       540         -6910.20036        1058.10164       -5852.09872
       541         -6910.39076        1058.11506       -5852.27571
       542         -6910.55695        1058.12824       -5852.42872
       543         -6910.71523        1058.14115       -5852.57408
       544         -6910.88338        1058.15385       -5852.72953
       545         -6911.05999        1058.16635       -5852.89365
       546         -6911.23623        1058.17867       -5853.05756
       547         -6911.41061        1058.19081       -5853.21980
       548         -6911.58612        1058.20278       -5853.38334
       549         -6911.75533        1058.21458       -5853.54075
       550         -6911.93014        1058.22623       -5853.70391
       551         -6912.10316        1058.23774       -5853.86542
       552         -6912.28623        1058.24909       -5854.03714
       553         -6912.46602        1058.26030       -5854.20572
       554         -6912.62031        1058.27137       -5854.34894
       555         -6912.83353        1058.28228       -5854.55126
       556         -6912.99308        1058.29302       -5854.70005
       557         -6913.15226        1058.30360       -5854.84866
       558         -6913.33330        1058.31401       -5855.01928
       559         -6913.48876        1058.32424       -5855.16453
       560         -6913.63640        1058.33426       -5855.30214
       561         -6913.81766        1058.34406       -5855.47360
       562         -6913.96287        1058.35364       -5855.60922
       563         -6914.08978        1058.36297       -5855.72681
       564         -6914.24430        1058.37204       -5855.87226
       565         -6914.42786        1058.38083       -5856.04704
       566         -6914.59151        1058.38927       -5856.20224
       567         -6914.72773        1058.39736       -5856.33038
       568         -6914.89133        1058.40506       -5856.48626
       569         -6915.07183        1058.41232       -5856.65951
       570         -6915.21879        1058.41912       -5856.79967
       571         -6915.38401        1058.42545       -5856.95856
       572         -6915.53781        1058.43125       -5857.10656
       573         -6915.71715        1058.43649       -5857.28066
       574         -6915.85229        1058.44112       -5857.41118
       575         -6916.01281        1058.44510       -5857.56771
       576         -6916.17341        1058.44840       -5857.72501
       577         -6916.35035        1058.45098       -5857.89936
       578         -6916.49019        1058.45281       -5858.03739
       579         -6916.64026        1058.45383       -5858.18643
