                               No. of Molecules =    12800
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         84.8420
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       559        -16275.95607        2492.45789      -13783.49817
       560        -16276.16053        2492.39360      -13783.76693
       561        -16276.37884        2492.32811      -13784.05072
       562        -16276.56673        2492.26153      -13784.30520
       563        -16276.80445        2492.19399      -13784.61046
       564        -16277.02857        2492.12562      -13784.90295
       565        -16277.19932        2492.05654      -13785.14278
       566        -16277.39992        2491.98686      -13785.41306
       567        -16277.60695        2491.91673      -13785.69022
       568        -16277.84740        2491.84635      -13786.00105
       569        -16278.02082        2491.77581      -13786.24501
       570        -16278.24159        2491.70531      -13786.53629
       571        -16278.43002        2491.63497      -13786.79505
       572        -16278.64718        2491.56496      -13787.08222
       573        -16278.86079        2491.49546      -13787.36534
       574        -16279.06078        2491.42659      -13787.63419
       575        -16279.24154        2491.35855      -13787.88300
       576        -16279.48344        2491.29148      -13788.19196
       577        -16279.70677        2491.22555      -13788.48122
       578        -16279.88520        2491.16093      -13788.72427
       579        -16280.05906        2491.09778      -13788.96128
